Job Title,Job Salary,Key Skills,Role Category,Functional Area,Industry,Role
Solutions Architect Application Development,Not Disclosed by Recruiter,project_management technical_support php technical analytical software functions level debugging testing mobile analytics quality cloud web service design performance_testing agile support programming python applications,Programming_&_Design,IT_Software,IT-Software Software_Services,Software Developer
Software Engineer Java,Not Disclosed by Recruiter,design_development project_life_cycle startup core_java j2ee object_oriented_programming web_services sql git spring hibernate maven,Programming_&_Design,IT_Software,Media Entertainment Internet,Software Developer
AUTOSAR Engineer Lead,Not Disclosed by Recruiter,autosar application_development automotive,Programming_&_Design,IT_Software,IT-Software Software_Services,Project Lead
Creative Movement Specialist Pune,Not Disclosed by Recruiter,dancing creative,Teachers,Teaching Education Training Counselling,Education Teaching Training,Trainer
Music Teacher,Not Disclosed by Recruiter,counselor mentor trainer advisor teaching,Teachers,Teaching Education Training Counselling,Education Teaching Training,Teacher/ Private Tutor
Proofreader,Not Disclosed by Recruiter,proof_reading editing ms_office proofreader research editorial,Journalist Writer,Journalism Editing Content,IT-Software Software_Services,Proof Reader
Senior Developer,"8,00,000-18,00,000",asp.net c#.net sql_server javascript,Programming_&_Design,IT_Software,IT-Software Software_Services,Software Developer
Test Automation Engineer,Not Disclosed by Recruiter,java automation selenium webdriver,Programming_&_Design,IT_Software,IT-Software Software_Services,Testing Engineer
Java Developer,Not Disclosed by Recruiter,hibernate core_java jpa spring oracle primary_skills,Programming_&_Design,IT_Software,IT-Software Software_Services,Software Developer
Senior Programmer,Not Disclosed by Recruiter,operations service development tools website sales_process web_development specification cms php,Programming_&_Design,IT_Software,Media Entertainment Internet,Software Developer
PHP Developer,Not Disclosed by Recruiter,php javascript mysql ajax jquery joomla wordpress cms mvc agile,Programming_&_Design,IT_Software,Recruitment Staffing,Software Developer
Hvac Mechanical Engineer,"1,25,000-2,00,000",design hvac air_conditioning heating ventilation maintenance mechanical_engineering refrigeration,Site_Engineering,Site_Engineering Project_Management,Construction Engineering Cement Metals,Mechanical Engineer-HVAC
